Unnamed: 0,0,1,2,3,4
0.0,虽然逻辑有漏洞，但我们就是活在漏洞和荒诞之中啊,2018-08-10,4.0,沈阳,WSF279026827
1.0,值得一看，一出好戏,2018-08-10,5.0,南昌,vsV905266915
2.0,节奏掌控太棒了，情绪全程都在被调动，黄渤导演处女作真的太厉害了！张艺兴的演技惊喜！,2018-08-10,5.0,常州,ginozacoin
3.0,揭露了人性的阴暗面……看完有点压抑…………演员们演技都不错👍👍👍,2018-08-10,4.0,成都,uuK500372631
4.0,影片故事情节有深度，超好看,2018-08-10,5.0,台州,金wh
5.0,才开始看不懂，但渐渐的悟出来人生哲理，赞(•̀ᴗ•́)و ̑̑,2018-08-10,4.5,南京,POPPY
6.0,搞笑的，还不错！,2018-08-10,5.0,宁波,Idv541245140
7.0,属实名副其实 一出好戏！ 真的很赞，渤哥处女座估计给了全世界一个惊喜！ 很棒,2018-08-10,5.0,安阳,三分归元气。
8.0,好看好看好看,2018-08-10,5.0,任丘,dRv189326159
9.0,良心作品值得一看,2018-08-10,5.0,张家港,_qqnwh1431420990
10.0,一出烂烂烂戏,2018-08-10,0.5,嘉兴,wPL962677174
11.0,特别棒，值得去看,2018-08-10,5.0,威海,XgY695237661
12.0,很棒，艺兴的演技也很好，渤叔更是无话可说，很赞！！,2018-08-10,5.0,威宁,小霜117
13.0,好看，黄渤加油。,2018-08-10,5.0,仙游县,Hab。
14.0,很出色的一部电影，让人深思也不乏笑点，你可以说它不好看但这绝对是诚意满满的一部电影。,2018-08-10,4.5,洛阳,加油哦你是最胖的
8.0,低于期待值，宣传做得不错，影片没有太大惊喜,2018-08-10,3.0,日照,zXY940077785
9.0,很好看，演技在线,2018-08-10,5.0,邵阳,Sandm582
10.0,挺好的，好评，支持黄渤。,2018-08-10,4.0,徐州,_sina76364818056
11.0,人性😞可怕可怕,2018-08-10,4.0,杭州,转角遇到你9415
12.0,张艺兴这个反转真的...我以为会给他一个傻傻的角色什么的，没想到啊 后期那个在丛林里暗中观察那个场景是真的记忆深刻，什么都不记得只记得张艺兴是真的惊到我了,2018-08-10,5.0,孝感,wolf金珉锡
13.0,好看好看好看,2018-08-10,5.0,珠海,FoN224743538
14.0,黄渤的演技太赞了,2018-08-10,5.0,郑州,cZQ984124241
0.0,很好看 而且小绵羊演技很不错哦 黄渤还是一如既往的精彩 很好看 而且有教育意义 喜欢,2018-08-10,5.0,临沂,喵喵9707
1.0,我觉得比爱情公墓好看多了,2018-08-10,5.0,重庆,LlL653353944
2.0,黄渤的这出戏确实演的很到位，社会人性的多面在一个小岛全部展现出来，最后的回归皆大欢喜！过程中的点点心酸与欢快有喜有悲，转折反复，很有内涵！推荐指数5颗星！,2018-08-10,5.0,北京,gAt271084718
3.0,喜剧 剧情  悬疑   三个元素全在里面    张艺兴演技爆表   黑化后的    凸显人性    整部感觉都出乎意料的好,2018-08-10,4.5,宿迁,HYd853172528
4.0,勃哥一血，很好看，期待下一部电影,2018-08-10,5.0,启东,PNI648802202
5.0,建议别抱着传统喜剧的想法观影，那样会略有失望，有笑点，但不是笑出眼泪那种，一堆人流落荒岛，为了生存，各种人性暴露无遗，总结就是《集体荒岛求生记》+《人类发展史》+《人性论》，内核：社会繁杂、生活不易、人心难测，究竟是钱重要？还是人性重要？总结完毕,2018-08-10,4.0,大连,crystalplane小兔
6.0,看似荒诞搞笑，每个剧情都有深意，值得反思。,2018-08-10,5.0,海东,紫馨254
8.0,好看好看好看，真的很好看。,2018-08-10,5.0,海门,梦精灵79
9.0,好看  真的很好看  有笑点  有哲理,2018-08-10,5.0,台州,PwA864851750
10.0,不错。,2018-08-10,5.0,长春,路5234
11.0,看之前有8.2的评分，看完觉得绝对是找的推手，就这种烂片还能上8？4都到不了！,2018-08-10,0.5,北京,薛小如
12.0,还可以，但是肯定比爱情公寓好看,2018-08-10,2.5,泰兴,JUL539937751
13.0,为我渤哥打call啊，别担心你的冰淇淋并没有化，它也不是💩冻上的。人性难以预料，为了自己的利益难免会挣扎。张艺兴演技很棒啊，黑化的略害怕。准备二刷,2018-08-10,5.0,太原,皮几皮几皮
14.0,一出大戏，戏剧的戏。,2018-08-10,5.0,青岛,n-jdjshkwks
14.0,小岛上人性的考验，钱只是试金石，选对了才是人生真正的赢家。喜欢岛上的今日影讯和集体广场舞，只有经历过，才会觉得做人真好吧。,2018-08-10,4.0,太原,相欣　　　　　　　　
